Sample,Class,PGE,T_PGEM,T_PGAM,P_15K_PGF2a,PGD2,P_11b_PGF2a,PGDM,T_PGDM,PGE1,P_17_transPGF3,IsoP_15F2t,IsoP2_3_dinor15F2t,IsoP15keto15F2t,IsoP8_epi_ent_15F2t,IsoP_9epi_15F2t,IsoP_5F2t,IsoP_5epi_5F2t,IsoP_15epi_15E2t,IsoP_15E1t,IsoP_8F3t
oxLDL50_6.4,3,0,22.36469,50.44909,26.38188,0,28.35638,139.7107,0,6.919672,11.68389,3.255137,0,18.27902,0,0,7.287466,203.8427,11.12164,33.03077,10.04318
oxLDL50_6.5,3,0,28.93023,83.52446,27.11343,0,20.50044,177.53,0,6.390237,10.84637,0,0,18.43901,0,0,14.927394,159.6571,12.32739,3.924106,11.27105
oxLDL12_12.1,3,22.36755,111.9399,72.09566,37.63749,0,114.0092,1415.7,15.44674,23.61644,128.16,90.40414,0,21.46124,0,0,321.1909,668.4066,18.89781,77.38995,37.17917
oxLDL12_12.2,3,27.70697,93.55277,101.2101,36.15174,0,85.59751,1570.761,5.721103,19.18069,137.0737,73.02306,0,20.33816,0,0,308.0711,527.886,17.12589,63.34071,34.72166
oxLDL12_12.3,3,28.00495,128.2846,88.34826,38.23951,0,99.41986,1767.438,0,15.74698,51.10749,95.84526,0,20.34303,0,0,340.8377,452.386,21.39198,94.72385,34.17089
oxLDL12_12.4,3,21.30758,123.8999,107.366,36.92037,0,83.50897,1740.913,3.492397,20.92644,100.4498,91.0434,0,20.61869,0,0,301.912,570.2463,21.99949,125.4566,40.29269
oxLDL12_12.5,3,21.1072,106.9503,90.79043,42.276,0,151.9067,1721.159,6.158351,31.71091,80.30128,113.0513,0,20.83201,0,0,345.8754,876.3726,19.8462,114.705,35.38997
oxLDL25_12.1,3,25.21254,129.0823,79.84603,40.4724,0,142.6108,1868.164,6.260237,32.49609,139.6461,96.27903,0,21.57034,0,0,342.4397,846.1537,19.07331,148.8395,33.38154
oxLDL25_12.2,3,21.04214,103.8953,71.74245,42.79283,0,109.1577,1360.192,0,19.69463,105.3433,73.87383,0,19.82874,0,0,237.2016,667.5629,18.94843,102.2363,23.69011
oxLDL25_12.3,3,32.48114,84.81563,74.44197,40.44003,0,101.0375,1041.903,2.422619,27.93323,94.95803,83.15189,0,21.87521,0,0,258.4469,674.6866,23.81528,115.7977,25.4179
oxLDL25_12.4,3,23.97378,74.1374,78.25157,38.16866,0,113.7662,875.4926,1.228317,31.09637,94.95803,72.12508,0,20.45895,0,0,222.6306,721.4863,18.61767,113.9765,36.50383
oxLDL25_12.5,3,24.43961,191.8882,112.2856,40.14149,0,110.1663,1671.46,0,22.05968,88.37746,64.18791,0,20.46576,0,0,181.7824,584.4886,18.54005,77.29237,25.83011
oxLDL50_12.1,3,29.84749,40.97474,67.93297,44.53189,0,95.92477,264.5746,23.05405,21.659,90.2918,62.80443,0,19.80439,0,28.03789,193.8434,567.5671,23.55608,67.4384,32.23611
oxLDL50_12.2,3,38.8688,40.68731,77.51991,42.33163,0,124.4215,323.5583,11.81289,28.17523,100.8207,69.11154,0,24.00644,0,17.41573,243.2624,683.3851,27.38273,109.0007,37.72294
oxLDL50_12.3,3,36.74003,37.93846,64.02235,44.53189,0,95.36237,299.5183,7.567743,20.76125,98.93028,58.69354,0,22.67491,0,21.68266,202.8177,506.0211,19.96095,86.72357,25.40913
oxLDL50_12.4,3,46.31569,40.79954,67.46863,53.75297,0,113.3333,256.2681,9.489945,20.76125,71.8662,78.36523,0,26.45422,0,32.06386,219.8951,642.2017,30.99406,87.66672,37.4686
oxLDL50_12.5,3,43.64817,48.07814,92.27895,49.84389,0,115.718,456.8826,7.856411,25.91283,96.15449,69.90297,0,23.05771,0,23.21475,204.7105,700.5914,23.37315,117.2937,38.9508
